departure,arrival
"Cancun, MX (CUN)","Denver, CO (DEN)"
"Cancun, MX (CUN)","Houston, TX (IAH)"
"Cancun, MX (CUN)","Miami, FL (MIA)"
"Cancun, MX (CUN)","Orlando, FL (MCO)"
"Cancun, MX (CUN)","Philadelphia, PA (PHL)"
"Cancun, MX (CUN)","St. Louis, MO (STL)"
"Cedar Rapids, IA (CID)","Denver, CO (DEN)"
"Charleston, SC (CHS)","Philadelphia, PA (PHL)"
"Charlotte, NC (CLT)","Baltimore, MD (BWI)"
"Charlotte, NC (CLT)","Boston, MA (BOS)"
"Charlotte, NC (CLT)","Buffalo, NY (BUF)"
"Charlotte, NC (CLT)","Chicago, IL (ORD)"
"Charlotte, NC (CLT)","Cleveland, OH (CLE)"
"Charlotte, NC (CLT)","Dallas, TX (DFW)"
"Charlotte, NC (CLT)","Denver, CO (DEN)"
"Charlotte, NC (CLT)","Houston, TX (IAH)"
"Charlotte, NC (CLT)","Miami, FL (MIA)"
"Charlotte, NC (CLT)","New York City, NY (LGA)"
"Charlotte, NC (CLT)","Orlando, FL (MCO)"
"Charlotte, NC (CLT)","Philadelphia, PA (PHL)"
"Charlotte, NC (CLT)","San Juan, PR (SJU)"
"Chicago, IL (MDW)","Atlanta, GA (ATL)"
"Chicago, IL (MDW)","Dallas, TX (DFW)"
"Chicago, IL (MDW)","Denver, CO (DEN)"
"Chicago, IL (MDW)","Houston, TX (IAH)"
"Chicago, IL (MDW)","Las Vegas, NV (LAS)"
"Chicago, IL (MDW)","Miami, FL (MIA)"
"Chicago, IL (MDW)","Newark, NJ (EWR)"
"Chicago, IL (MDW)","Orlando, FL (MCO)"
"Chicago, IL (MDW)","Philadelphia, PA (PHL)"
"Chicago, IL (MDW)","Phoenix, AZ (PHX)"
"Chicago, IL (MDW)","Tampa, FL (TPA)"
"Chicago, IL (ORD)","Atlanta, GA (ATL)"
"Chicago, IL (ORD)","Austin, TX (AUS)"
"Chicago, IL (ORD)","Cancun, MX (CUN)"
"Chicago, IL (ORD)","Charlotte, NC (CLT)"
"Chicago, IL (ORD)","Dallas, TX (DFW)"
"Chicago, IL (ORD)","Denver, CO (DEN)"
"Chicago, IL (ORD)","Fort Myers, FL (RSW)"
"Chicago, IL (ORD)","Houston, TX (IAH)"
"Chicago, IL (ORD)","Las Vegas, NV (LAS)"
"Chicago, IL (ORD)","Los Angeles, CA (LAX)"
"Chicago, IL (ORD)","Minneapolis/St. Paul, MN (MSP)"
"Chicago, IL (ORD)","Nashville, TN (BNA)"
"Chicago, IL (ORD)","New York City, NY (JFK)"
"Chicago, IL (ORD)","Orlando, FL (MCO)"
"Chicago, IL (ORD)","Philadelphia, PA (PHL)"
"Chicago, IL (ORD)","Phoenix, AZ (PHX)"
"Chicago, IL (ORD)","Punta Cana, Dominican Republic (PUJ)"
"Chicago, IL (ORD)","Raleigh, NC (RDU)"
"Chicago, IL (ORD)","Salt Lake City, UT (SLC)"
"Chicago, IL (ORD)","Tampa, FL (TPA)"
"Cincinnati, OH (CVG)","Atlanta, GA (ATL)"
"Cincinnati, OH (CVG)","Austin, TX (AUS)"
"Cincinnati, OH (CVG)","Boston, MA (BOS)"
"Cincinnati, OH (CVG)","Cancun, MX (CUN)"
"Cincinnati, OH (CVG)","Dallas, TX (DFW)"
"Cincinnati, OH (CVG)","Denver, CO (DEN)"
"Cincinnati, OH (CVG)","Fort Lauderdale, FL (FLL)"
"Cincinnati, OH (CVG)","Fort Myers, FL (RSW)"
"Cincinnati, OH (CVG)","Houston, TX (IAH)"
"Cincinnati, OH (CVG)","Las Vegas, NV (LAS)"
"Cincinnati, OH (CVG)","Miami, FL (MIA)"
"Cincinnati, OH (CVG)","New York City, NY (LGA)"
"Cincinnati, OH (CVG)","Orlando, FL (MCO)"
"Cincinnati, OH (CVG)","Phoenix, AZ (PHX)"
"Cincinnati, OH (CVG)","Tampa, FL (TPA)"
"Cleveland, OH (CLE)","Atlanta, GA (ATL)"
"Cleveland, OH (CLE)","Austin, TX (AUS)"
"Cleveland, OH (CLE)","Boston, MA (BOS)"
"Cleveland, OH (CLE)","Cancun, MX (CUN)"
"Cleveland, OH (CLE)","Charlotte, NC (CLT)"
"Cleveland, OH (CLE)","Dallas, TX (DFW)"
"Cleveland, OH (CLE)","Denver, CO (DEN)"
"Cleveland, OH (CLE)","Fort Lauderdale, FL (FLL)"
"Cleveland, OH (CLE)","Fort Myers, FL (RSW)"
"Cleveland, OH (CLE)","Las Vegas, NV (LAS)"
"Cleveland, OH (CLE)","Miami, FL (MIA)"
"Cleveland, OH (CLE)","Nashville, TN (BNA)"
"Cleveland, OH (CLE)","New York City, NY (LGA)"
"Cleveland, OH (CLE)","Orlando, FL (MCO)"
"Cleveland, OH (CLE)","Phoenix, AZ (PHX)"
"Cleveland, OH (CLE)","Punta Cana, Dominican Republic (PUJ)"
"Cleveland, OH (CLE)","Raleigh, NC (RDU)"
"Cleveland, OH (CLE)","San Juan, PR (SJU)"
