departure,arrival
"New Orleans, LA (MSY)","Atlanta, GA (ATL)"
"New Orleans, LA (MSY)","Denver, CO (DEN)"
"New Orleans, LA (MSY)","Orlando, FL (MCO)"
"New Orleans, LA (MSY)","Philadelphia, PA (PHL)"
"New York City, NY (JFK)","Atlanta, GA (ATL)"
"New York City, NY (JFK)","Chicago, IL (ORD)"
"New York City, NY (JFK)","Dallas, TX (DFW)"
"New York City, NY (JFK)","Denver, CO (DEN)"
"New York City, NY (JFK)","Las Vegas, NV (LAS)"
"New York City, NY (JFK)","Los Angeles, CA (LAX)"
"New York City, NY (JFK)","Miami, FL (MIA)"
"New York City, NY (JFK)","Orlando, FL (MCO)"
"New York City, NY (JFK)","San Juan, PR (SJU)"
"New York City, NY (JFK)","Tampa, FL (TPA)"
"New York City, NY (LGA)","Atlanta, GA (ATL)"
"New York City, NY (LGA)","Charlotte, NC (CLT)"
"New York City, NY (LGA)","Cincinnati, OH (CVG)"
"New York City, NY (LGA)","Cleveland, OH (CLE)"
"New York City, NY (LGA)","Dallas, TX (DFW)"
"New York City, NY (LGA)","Denver, CO (DEN)"
"New York City, NY (LGA)","Miami, FL (MIA)"
"New York City, NY (LGA)","Orlando, FL (MCO)"
"New York City, NY (LGA)","Raleigh, NC (RDU)"
"New York City, NY (LGA)","San Juan, PR (SJU)"
"Newark, NJ (EWR)","Atlanta, GA (ATL)"
"Newark, NJ (EWR)","Chicago, IL (MDW)"
"Newark, NJ (EWR)","San Juan, PR (SJU)"
"Norfolk, VA (ORF)","Atlanta, GA (ATL)"
"Norfolk, VA (ORF)","Dallas, TX (DFW)"
"Norfolk, VA (ORF)","Orlando, FL (MCO)"
"Oklahoma City, OK (OKC)","Atlanta, GA (ATL)"
"Oklahoma City, OK (OKC)","Denver, CO (DEN)"
"Oklahoma City, OK (OKC)","Las Vegas, NV (LAS)"
"Oklahoma City, OK (OKC)","Orlando, FL (MCO)"
"Omaha, NE (OMA)","Atlanta, GA (ATL)"
"Omaha, NE (OMA)","Denver, CO (DEN)"
"Omaha, NE (OMA)","Orlando, FL (MCO)"
"Ontario/LA, CA (ONT)","Dallas, TX (DFW)"
"Ontario/LA, CA (ONT)","Denver, CO (DEN)"
"Ontario/LA, CA (ONT)","Houston, TX (IAH)"
"Ontario/LA, CA (ONT)","Las Vegas, NV (LAS)"
"Ontario/LA, CA (ONT)","Portland, OR (PDX)"
"Ontario/LA, CA (ONT)","Salt Lake City, UT (SLC)"
"Ontario/LA, CA (ONT)","San Francisco, CA (SFO)"
"Orlando, FL (MCO)",Aguadilla (BQN)
"Orlando, FL (MCO)","Atlanta, GA (ATL)"
"Orlando, FL (MCO)","Austin, TX (AUS)"
"Orlando, FL (MCO)","Baltimore, MD (BWI)"
"Orlando, FL (MCO)","Boston, MA (BOS)"
"Orlando, FL (MCO)","Buffalo, NY (BUF)"
"Orlando, FL (MCO)","Cancun, MX (CUN)"
"Orlando, FL (MCO)","Charlotte, NC (CLT)"
"Orlando, FL (MCO)","Chicago, IL (MDW)"
"Orlando, FL (MCO)","Chicago, IL (ORD)"
"Orlando, FL (MCO)","Cincinnati, OH (CVG)"
"Orlando, FL (MCO)","Cleveland, OH (CLE)"
"Orlando, FL (MCO)","Columbus, OH (CMH)"
"Orlando, FL (MCO)","Dallas, TX (DFW)"
"Orlando, FL (MCO)","Denver, CO (DEN)"
"Orlando, FL (MCO)","Des Moines, IA (DSM)"
"Orlando, FL (MCO)","Detroit, MI (DTW)"
"Orlando, FL (MCO)","Fargo, ND (FAR)"
"Orlando, FL (MCO)","Grand Rapids, MI (GRR)"
"Orlando, FL (MCO)",Guatemala City (GUA)
"Orlando, FL (MCO)","Harrisburg, PA (MDT)"
"Orlando, FL (MCO)","Hartford, CT (BDL)"
"Orlando, FL (MCO)","Houston, TX (IAH)"
"Orlando, FL (MCO)","Indianapolis, IN (IND)"
"Orlando, FL (MCO)","Islip, NY (ISP)"
"Orlando, FL (MCO)","Las Vegas, NV (LAS)"
"Orlando, FL (MCO)","Los Angeles, CA (LAX)"
"Orlando, FL (MCO)","Madison, WI (MSN)"
"Orlando, FL (MCO)","Milwaukee, WI (MKE)"
"Orlando, FL (MCO)","Minneapolis/St. Paul, MN (MSP)"
"Orlando, FL (MCO)","Nashville, TN (BNA)"
"Orlando, FL (MCO)","New Orleans, LA (MSY)"
"Orlando, FL (MCO)","New York City, NY (JFK)"
"Orlando, FL (MCO)","New York City, NY (LGA)"
"Orlando, FL (MCO)","Norfolk, VA (ORF)"
"Orlando, FL (MCO)","Oklahoma City, OK (OKC)"
"Orlando, FL (MCO)","Omaha, NE (OMA)"
"Orlando, FL (MCO)","Philadelphia, PA (PHL)"
"Orlando, FL (MCO)","Phoenix, AZ (PHX)"
"Orlando, FL (MCO)","Pittsburgh, PA (PIT)"
"Orlando, FL (MCO)",Ponce (PSE)
"Orlando, FL (MCO)","Punta Cana, Dominican Republic (PUJ)"
"Orlando, FL (MCO)","Raleigh, NC (RDU)"
"Orlando, FL (MCO)","San Antonio, TX (SAT)"
"Orlando, FL (MCO)","San Francisco, CA (SFO)"
"Orlando, FL (MCO)","San Juan, PR (SJU)"
"Orlando, FL (MCO)",Santo Domingo (SDQ)
"Orlando, FL (MCO)","St. Louis, MO (STL)"
"Orlando, FL (MCO)",St. Maarten (SXM)
"Orlando, FL (MCO)","Syracuse, NY (SYR)"
"Orlando, FL (MCO)","Trenton, NJ (TTN)"
"Orlando, FL (MCO)","Washington, D.C. (IAD)"
"Pensacola, FL (PNS)","Denver, CO (DEN)"
"Philadelphia, PA (PHL)","Atlanta, GA (ATL)"
"Philadelphia, PA (PHL)","Austin, TX (AUS)"
"Philadelphia, PA (PHL)","Boston, MA (BOS)"
"Philadelphia, PA (PHL)","Cancun, MX (CUN)"
"Philadelphia, PA (PHL)","Charleston, SC (CHS)"
"Philadelphia, PA (PHL)","Charlotte, NC (CLT)"
"Philadelphia, PA (PHL)","Chicago, IL (MDW)"
"Philadelphia, PA (PHL)","Chicago, IL (ORD)"
"Philadelphia, PA (PHL)","Dallas, TX (DFW)"
"Philadelphia, PA (PHL)","Denver, CO (DEN)"
"Philadelphia, PA (PHL)","Fort Lauderdale, FL (FLL)"
"Philadelphia, PA (PHL)","Fort Myers, FL (RSW)"
"Philadelphia, PA (PHL)","Jacksonville, FL (JAX)"
"Philadelphia, PA (PHL)","Las Vegas, NV (LAS)"
"Philadelphia, PA (PHL)","Los Angeles, CA (LAX)"
"Philadelphia, PA (PHL)","Miami, FL (MIA)"
"Philadelphia, PA (PHL)","Montego Bay, Jamaica (MBJ)"
"Philadelphia, PA (PHL)","Myrtle Beach, SC (MYR)"
"Philadelphia, PA (PHL)","Nashville, TN (BNA)"
"Philadelphia, PA (PHL)","New Orleans, LA (MSY)"
"Philadelphia, PA (PHL)","Orlando, FL (MCO)"
"Philadelphia, PA (PHL)","Punta Cana, Dominican Republic (PUJ)"
"Philadelphia, PA (PHL)","Raleigh, NC (RDU)"
"Philadelphia, PA (PHL)","San Juan, PR (SJU)"
"Philadelphia, PA (PHL)",Santo Domingo (SDQ)
"Philadelphia, PA (PHL)","Sarasota, FL (SRQ)"
"Philadelphia, PA (PHL)","Savannah, GA (SAV)"
"Philadelphia, PA (PHL)","Tampa, FL (TPA)"
"Philadelphia, PA (PHL)","West Palm Beach, FL (PBI)"
"Phoenix, AZ (PHX)","Atlanta, GA (ATL)"
"Phoenix, AZ (PHX)","Austin, TX (AUS)"
"Phoenix, AZ (PHX)",Burbank (BUR)
"Phoenix, AZ (PHX)","Chicago, IL (MDW)"
"Phoenix, AZ (PHX)","Chicago, IL (ORD)"
"Phoenix, AZ (PHX)","Cincinnati, OH (CVG)"
"Phoenix, AZ (PHX)","Cleveland, OH (CLE)"
"Phoenix, AZ (PHX)","Dallas, TX (DFW)"
"Phoenix, AZ (PHX)","Denver, CO (DEN)"
"Phoenix, AZ (PHX)","Detroit, MI (DTW)"
"Phoenix, AZ (PHX)","Houston, TX (IAH)"
"Phoenix, AZ (PHX)","Las Vegas, NV (LAS)"
"Phoenix, AZ (PHX)","Los Angeles, CA (LAX)"
"Phoenix, AZ (PHX)","Minneapolis/St. Paul, MN (MSP)"
"Phoenix, AZ (PHX)","Orlando, FL (MCO)"
"Phoenix, AZ (PHX)","Portland, OR (PDX)"
"Phoenix, AZ (PHX)","Reno, NV (RNO)"
"Phoenix, AZ (PHX)","Salt Lake City, UT (SLC)"
"Phoenix, AZ (PHX)","San Antonio, TX (SAT)"
"Phoenix, AZ (PHX)","San Diego, CA (SAN)"
"Phoenix, AZ (PHX)","San Francisco, CA (SFO)"
"Phoenix, AZ (PHX)","San Jose, CA (SJC)"
"Phoenix, AZ (PHX)","Santa Ana, CA (SNA)"
"Phoenix, AZ (PHX)","Seattle, WA (PAE)"
"Phoenix, AZ (PHX)","Seattle, WA (SEA)"
"Phoenix, AZ (PHX)","Spokane, WA (GEG)"
"Pittsburgh, PA (PIT)","Denver, CO (DEN)"
"Pittsburgh, PA (PIT)","Orlando, FL (MCO)"
"Pittsburgh, PA (PIT)","Philadelphia, PA (PHL)"
Ponce (PSE),"Orlando, FL (MCO)"
"Portland, OR (PDX)","Dallas, TX (DFW)"
"Portland, OR (PDX)","Denver, CO (DEN)"
"Portland, OR (PDX)","Las Vegas, NV (LAS)"
"Portland, OR (PDX)","Los Angeles, CA (LAX)"
"Portland, OR (PDX)","Ontario/LA, CA (ONT)"
"Portland, OR (PDX)","Phoenix, AZ (PHX)"
"Portland, OR (PDX)","Salt Lake City, UT (SLC)"
Providenciales (PLS),"Atlanta, GA (ATL)"
"Puerto Vallarta, Mexico (PVR)","Atlanta, GA (ATL)"
"Puerto Vallarta, Mexico (PVR)","Denver, CO (DEN)"
"Punta Cana, Dominican Republic (PUJ)","Atlanta, GA (ATL)"
"Punta Cana, Dominican Republic (PUJ)","Chicago, IL (ORD)"
"Punta Cana, Dominican Republic (PUJ)","Cleveland, OH (CLE)"
"Punta Cana, Dominican Republic (PUJ)","Miami, FL (MIA)"
"Punta Cana, Dominican Republic (PUJ)","Orlando, FL (MCO)"
"Punta Cana, Dominican Republic (PUJ)","Philadelphia, PA (PHL)"
"Punta Cana, Dominican Republic (PUJ)","San Juan, PR (SJU)"
"Punta Cana, Dominican Republic (PUJ)","St. Louis, MO (STL)"
"Punta Cana, Dominican Republic (PUJ)","Tampa, FL (TPA)"
"Raleigh, NC (RDU)","Atlanta, GA (ATL)"
"Raleigh, NC (RDU)","Boston, MA (BOS)"
"Raleigh, NC (RDU)","Buffalo, NY (BUF)"
"Raleigh, NC (RDU)","Cleveland, OH (CLE)"
"Raleigh, NC (RDU)","Dallas, TX (DFW)"
"Raleigh, NC (RDU)","Denver, CO (DEN)"
"Raleigh, NC (RDU)","Detroit, MI (DTW)"
"Raleigh, NC (RDU)","Houston, TX (IAH)"
"Raleigh, NC (RDU)","Indianapolis, IN (IND)"
"Raleigh, NC (RDU)","Islip, NY (ISP)"
"Raleigh, NC (RDU)","Las Vegas, NV (LAS)"
"Raleigh, NC (RDU)","Miami, FL (MIA)"
"Raleigh, NC (RDU)","New York City, NY (LGA)"
"Raleigh, NC (RDU)","Orlando, FL (MCO)"
"Raleigh, NC (RDU)","Philadelphia, PA (PHL)"
"Raleigh, NC (RDU)","San Juan, PR (SJU)"
"Raleigh, NC (RDU)","Syracuse, NY (SYR)"
"Raleigh, NC (RDU)","Tampa, FL (TPA)"
"Reno, NV (RNO)","Denver, CO (DEN)"
"Reno, NV (RNO)","Las Vegas, NV (LAS)"
"Reno, NV (RNO)","Phoenix, AZ (PHX)"
Richmond (RIC),"Atlanta, GA (ATL)"
Richmond (RIC),"Denver, CO (DEN)"
"Sacramento, CA (SMF)","Denver, CO (DEN)"
"Sacramento, CA (SMF)","Las Vegas, NV (LAS)"
"Sacramento, CA (SMF)","Los Angeles, CA (LAX)"
"Salt Lake City, UT (SLC)","Chicago, IL (ORD)"
"Salt Lake City, UT (SLC)","Dallas, TX (DFW)"
"Salt Lake City, UT (SLC)","Denver, CO (DEN)"
"Salt Lake City, UT (SLC)","Las Vegas, NV (LAS)"
"Salt Lake City, UT (SLC)","Los Angeles, CA (LAX)"
"Salt Lake City, UT (SLC)","Ontario/LA, CA (ONT)"
"Salt Lake City, UT (SLC)","Phoenix, AZ (PHX)"
"Salt Lake City, UT (SLC)","Portland, OR (PDX)"
"Salt Lake City, UT (SLC)","San Francisco, CA (SFO)"
"Salt Lake City, UT (SLC)","Santa Ana, CA (SNA)"
"San Antonio, TX (SAT)","Atlanta, GA (ATL)"
"San Antonio, TX (SAT)","Denver, CO (DEN)"
"San Antonio, TX (SAT)","Las Vegas, NV (LAS)"
"San Antonio, TX (SAT)","Orlando, FL (MCO)"
"San Antonio, TX (SAT)","Phoenix, AZ (PHX)"
"San Diego, CA (SAN)","Dallas, TX (DFW)"
"San Diego, CA (SAN)","Denver, CO (DEN)"
"San Diego, CA (SAN)","Las Vegas, NV (LAS)"
"San Diego, CA (SAN)","Phoenix, AZ (PHX)"
"San Diego, CA (SAN)","San Francisco, CA (SFO)"
"San Francisco, CA (SFO)","Atlanta, GA (ATL)"
"San Francisco, CA (SFO)",Burbank (BUR)
"San Francisco, CA (SFO)","Dallas, TX (DFW)"
"San Francisco, CA (SFO)","Denver, CO (DEN)"
"San Francisco, CA (SFO)","Las Vegas, NV (LAS)"
"San Francisco, CA (SFO)","Los Angeles, CA (LAX)"
"San Francisco, CA (SFO)","Ontario/LA, CA (ONT)"
"San Francisco, CA (SFO)","Orlando, FL (MCO)"
"San Francisco, CA (SFO)","Phoenix, AZ (PHX)"
"San Francisco, CA (SFO)","Salt Lake City, UT (SLC)"
"San Francisco, CA (SFO)","San Diego, CA (SAN)"
"San Francisco, CA (SFO)","Santa Ana, CA (SNA)"
"San Jose, CA (SJC)","Denver, CO (DEN)"
"San Jose, CA (SJC)","Las Vegas, NV (LAS)"
"San Jose, CA (SJC)","Los Angeles, CA (LAX)"
"San Jose, CA (SJC)","Phoenix, AZ (PHX)"
"San Jose, CR (SJO)","Atlanta, GA (ATL)"
"San Juan, PR (SJU)","Atlanta, GA (ATL)"
"San Juan, PR (SJU)","Baltimore, MD (BWI)"
"San Juan, PR (SJU)","Boston, MA (BOS)"
"San Juan, PR (SJU)","Charlotte, NC (CLT)"
"San Juan, PR (SJU)","Cleveland, OH (CLE)"
"San Juan, PR (SJU)","Dallas, TX (DFW)"
"San Juan, PR (SJU)","Fort Lauderdale, FL (FLL)"
"San Juan, PR (SJU)","Hartford, CT (BDL)"
"San Juan, PR (SJU)","Jacksonville, FL (JAX)"
"San Juan, PR (SJU)","Miami, FL (MIA)"
"San Juan, PR (SJU)","New York City, NY (JFK)"
"San Juan, PR (SJU)","New York City, NY (LGA)"
"San Juan, PR (SJU)","Newark, NJ (EWR)"
"San Juan, PR (SJU)","Orlando, FL (MCO)"
"San Juan, PR (SJU)","Philadelphia, PA (PHL)"
"San Juan, PR (SJU)","Punta Cana, Dominican Republic (PUJ)"
"San Juan, PR (SJU)","Raleigh, NC (RDU)"
"San Juan, PR (SJU)",Santo Domingo (SDQ)
"San Juan, PR (SJU)",St. Maarten (SXM)
"San Juan, PR (SJU)","Tampa, FL (TPA)"
"San Juan, PR (SJU)","Washington, D.C. (IAD)"
San Salvador (SAL),"Atlanta, GA (ATL)"
San Salvador (SAL),"Dallas, TX (DFW)"
San Salvador (SAL),"Miami, FL (MIA)"
San Salvador (SAL),"Washington, D.C. (IAD)"
"Santa Ana, CA (SNA)","Denver, CO (DEN)"
"Santa Ana, CA (SNA)","Las Vegas, NV (LAS)"
"Santa Ana, CA (SNA)","Phoenix, AZ (PHX)"
"Santa Ana, CA (SNA)","Salt Lake City, UT (SLC)"
"Santa Ana, CA (SNA)","San Francisco, CA (SFO)"
Santo Domingo (SDQ),"Miami, FL (MIA)"
Santo Domingo (SDQ),"Orlando, FL (MCO)"
Santo Domingo (SDQ),"Philadelphia, PA (PHL)"
Santo Domingo (SDQ),"San Juan, PR (SJU)"
Santo Domingo (SDQ),"Tampa, FL (TPA)"
"Sarasota, FL (SRQ)","Cleveland, OH (CLE)"
"Sarasota, FL (SRQ)","Philadelphia, PA (PHL)"
"Savannah, GA (SAV)","Philadelphia, PA (PHL)"
"Seattle, WA (PAE)","Denver, CO (DEN)"
"Seattle, WA (PAE)","Las Vegas, NV (LAS)"
"Seattle, WA (PAE)","Phoenix, AZ (PHX)"
"Seattle, WA (SEA)","Dallas, TX (DFW)"
"Seattle, WA (SEA)","Denver, CO (DEN)"
"Seattle, WA (SEA)","Las Vegas, NV (LAS)"
"Seattle, WA (SEA)","Los Angeles, CA (LAX)"
"Seattle, WA (SEA)","Ontario/LA, CA (ONT)"
"Seattle, WA (SEA)","Phoenix, AZ (PHX)"
"Sioux Falls, SD (FSD)","Denver, CO (DEN)"
"Spokane, WA (GEG)","Denver, CO (DEN)"
"Spokane, WA (GEG)","Phoenix, AZ (PHX)"
"St. Louis, MO (STL)","Atlanta, GA (ATL)"
"St. Louis, MO (STL)","Cancun, MX (CUN)"
"St. Louis, MO (STL)","Dallas, TX (DFW)"
"St. Louis, MO (STL)","Denver, CO (DEN)"
"St. Louis, MO (STL)","Las Vegas, NV (LAS)"
"St. Louis, MO (STL)","Orlando, FL (MCO)"
"St. Louis, MO (STL)","Punta Cana, Dominican Republic (PUJ)"
"St. Louis, MO (STL)","Tampa, FL (TPA)"
St. Maarten (SXM),"Atlanta, GA (ATL)"
St. Maarten (SXM),"Orlando, FL (MCO)"
St. Maarten (SXM),"San Juan, PR (SJU)"
"Syracuse, NY (SYR)","Atlanta, GA (ATL)"
"Syracuse, NY (SYR)","Orlando, FL (MCO)"
"Syracuse, NY (SYR)","Raleigh, NC (RDU)"
"Tampa, FL (TPA)","Atlanta, GA (ATL)"
"Tampa, FL (TPA)","Baltimore, MD (BWI)"
"Tampa, FL (TPA)","Boston, MA (BOS)"
"Tampa, FL (TPA)","Buffalo, NY (BUF)"
"Tampa, FL (TPA)","Chicago, IL (MDW)"
"Tampa, FL (TPA)","Chicago, IL (ORD)"
"Tampa, FL (TPA)","Cincinnati, OH (CVG)"
"Tampa, FL (TPA)","Cleveland, OH (CLE)"
"Tampa, FL (TPA)","Dallas, TX (DFW)"
"Tampa, FL (TPA)","Denver, CO (DEN)"
"Tampa, FL (TPA)","Detroit, MI (DTW)"
"Tampa, FL (TPA)","Grand Rapids, MI (GRR)"
"Tampa, FL (TPA)","Hartford, CT (BDL)"
"Tampa, FL (TPA)","Houston, TX (IAH)"
"Tampa, FL (TPA)","Indianapolis, IN (IND)"
"Tampa, FL (TPA)","Islip, NY (ISP)"
"Tampa, FL (TPA)","Kansas City, MO (MCI)"
"Tampa, FL (TPA)","Las Vegas, NV (LAS)"
"Tampa, FL (TPA)","Milwaukee, WI (MKE)"
"Tampa, FL (TPA)","New York City, NY (JFK)"
"Tampa, FL (TPA)","Philadelphia, PA (PHL)"
"Tampa, FL (TPA)","Punta Cana, Dominican Republic (PUJ)"
"Tampa, FL (TPA)","Raleigh, NC (RDU)"
"Tampa, FL (TPA)","San Juan, PR (SJU)"
"Tampa, FL (TPA)","St. Louis, MO (STL)"
"Tampa, FL (TPA)","Trenton, NJ (TTN)"
"Tampa, FL (TPA)","Washington, D.C. (IAD)"
"Trenton, NJ (TTN)","Atlanta, GA (ATL)"
"Trenton, NJ (TTN)","Fort Myers, FL (RSW)"
"Trenton, NJ (TTN)","Orlando, FL (MCO)"
"Trenton, NJ (TTN)","Tampa, FL (TPA)"
"Trenton, NJ (TTN)","West Palm Beach, FL (PBI)"
"Tucson, AZ (TUS)","Dallas, TX (DFW)"
"Tucson, AZ (TUS)","Denver, CO (DEN)"
"Tucson, AZ (TUS)","Las Vegas, NV (LAS)"
"Tulsa, OK (TUL)","Denver, CO (DEN)"
"Washington, D.C. (DCA)","Denver, CO (DEN)"
"Washington, D.C. (IAD)","Atlanta, GA (ATL)"
"Washington, D.C. (IAD)","Dallas, TX (DFW)"
"Washington, D.C. (IAD)","Miami, FL (MIA)"
"Washington, D.C. (IAD)","Orlando, FL (MCO)"
"Washington, D.C. (IAD)","San Juan, PR (SJU)"
"Washington, D.C. (IAD)",San Salvador (SAL)
"Washington, D.C. (IAD)","Tampa, FL (TPA)"
"West Palm Beach, FL (PBI)","Atlanta, GA (ATL)"
"West Palm Beach, FL (PBI)","Cleveland, OH (CLE)"
"West Palm Beach, FL (PBI)","Islip, NY (ISP)"
"West Palm Beach, FL (PBI)","Philadelphia, PA (PHL)"
"West Palm Beach, FL (PBI)","Trenton, NJ (TTN)"
